Per Capita Personal Income by County (Dollars)																		
Series ID	Region Name	Region Code	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
PCPI29009	Barry County, MO	29009	21997	22231	24405	25183	25846	27094	28960	28190	28860	29195	28502	30039	31828	32863	31948	33277
PCPI18005	Bartholomew County, IN	18005	30529	31442	32765	33144	35550	36368	38008	35779	37554	40289	43071	42475	44609	45606	46181	47804
PCPI20009	Barton County, KS	20009	26188	27219	28098	29977	33453	35473	43366	37778	39413	44188	47309	47389	50470	45893	43852	45222
PCPI29011	Barton County, MO	29011	21738	23219	25069	25089	25408	26774	29493	30127	30320	31784	33398	34682	34715	33176	33340	34589
PCPI13015	Bartow County, GA	13015	27223	27831	27178	27731	28755	29708	29314	28213	27927	29909	31139	31368	33161	35001	36142	37362
PCPI48021	Bastrop County, TX	48021	23156	23350	23635	24928	25979	27334	28398	27939	28666	29286	30466	30694	31987	33588	33761	34969
PCPI29013	Bates County, MO	29013	21531	22774	25439	25435	25951	27632	30485	30700	30315	31534	33279	33345	33420	34282	35026	37037
PCPI21011	Bath County, KY	21011	20413	20625	21600	21901	22695	23665	24192	24597	25049	26174	27742	27952	28256	29012	29073	29669
PCPI51017	Bath County, VA	51017	29751	30930	33397	33723	34908	36988	37578	35822	38570	44187	49838	46714	49606	54181	55608	58876
PCPI05005	Baxter County, AR	05005	23671	23989	24734	25941	27661	29099	29406	28646	28854	29914	31806	31451	33514	34074	34191	35293
PCPI12005	Bay County, FL	12005	27746	29289	30834	32605	34451	35671	36673	35372	36789	37768	37437	37346	38882	40526	41327	42476
PCPI26017	Bay County, MI	26017	26990	27684	28287	28628	29763	30835	32092	31894	33267	34544	35108	35066	36506	38382	39382	41024
PCPI55007	Bayfield County, WI	55007	24967	26052	27594	28756	30470	32657	33987	35957	35983	37081	39964	39378	41229	42258	43470	45438
PCPI48023	Baylor County, TX	48023	25438	27157	27272	27494	28845	29290	33603	31607	32602	34781	36186	36933	39165	39219	37599	39650
PCPI46005	Beadle County, SD	46005	26871	29184	32397	33059	35099	39221	45339	40653	38715	48473	43346	44080	46766	49626	48876	47499
PCPI16007	Bear Lake County, ID	16007	19104	20536	21344	22515	23502	26247	27817	27989	28847	30315	33325	34054	35217	36353	36914	37634
PCPI37013	Beaufort County, NC	37013	24170	25579	26666	28241	29716	31815	32698	32464	33249	34266	36606	36938	37570	38619	39241	40926
PCPI45013	Beaufort County, SC	45013	34661	36028	38350	40565	44153	46001	45384	42692	40707	43166	44838	45050	48282	50785	51613	52763
PCPI22011	Beauregard Parish, LA	22011	22021	23479	24786	26293	28045	31125	35033	34021	35076	37132	37056	37462	38707	39719	39577	41218
PCPI49001	Beaver County, UT	49001	22678	22756	26296	25832	22607	24986	25526	27606	27420	29120	30195	32959	33409	30295	28301	29364
PCPI40007	Beaver County, OK	40007	24003	26293	26983	29848	29049	31515	36911	31375	38711	47703	51351	51030	54485	51271	44475	48213
PCPI42007	Beaver County, PA	42007	27024	27611	29244	30593	32687	34478	35813	35604	36955	38823	40125	40510	41864	43436	44215	45851
PCPI30001	Beaverhead County, MT	30001	22973	24442	25794	26998	26767	29538	30763	30537	31211	34056	36428	38167	41050	44636	44424	44381
PCPI27005	Becker County, MN	27005	25762	27098	27702	28395	29806	31464	32837	33238	35470	37947	40675	41573	42150	43265	43876	44959
PCPI40009	Beckham County, OK	40009	19814	21560	24150	26457	28145	28701	30349	28294	31456	36860	40640	41932	44359	37731	33751	36421
PCPI51019	Bedford County, VA	51019	29557	29963	30534	31654	33871	34749	36560	35914	36188	37566	39251	39393	40619	42520	42545	43826
PCPI47003	Bedford County, TN	47003	23994	24837	26261	26983	27614	28083	28057	27177	27806	29473	30872	32051	33715	34304	35256	36427
PCPI42009	Bedford County, PA	42009	23600	24304	24695	24920	26584	28791	30408	30246	31964	33846	34556	34892	35904	38075	38266	40149
PCPI48025	Bee County, TX	48025	15959	16829	17520	19022	19994	20989	25309	22896	25352	25448	27879	29140	29971	27684	26419	27078
PCPI33001	Belknap County, NH	33001	34526	34909	36694	37674	39998	42004	43451	42878	44332	47017	49792	50365	52367	55129	56590	59032
PCPI21013	Bell County, KY	21013	18588	19171	20047	20677	21659	22782	24399	24838	25458	25770	25723	25019	26707	27426	27173	28395
PCPI48027	Bell County, TX	48027	27054	28782	29766	31811	34423	36430	38787	39425	38795	40472	39775	38977	39834	41138	41013	42024
PCPI39013	Belmont County, OH	39013	24220	24954	25157	25812	26814	28140	29990	29799	30563	32291	33478	34289	36186	37164	36698	39646
PCPI27007	Beltrami County, MN	27007	23264	24378	24867	24866	26103	27425	28695	30220	30989	32194	33346	33938	36115	37701	38447	39275
PCPI13017	Ben Hill County, GA	13017	22411	22455	23541	24663	24380	24287	23676	23670	24600	27193	26563	27518	28516	29884	28997	30247
PCPI16009	Benewah County, ID	16009	22143	22487	23991	24483	25584	27081	26962	26548	27961	29047	30614	32062	32122	34985	34969	35520
PCPI46007	Bennett County, SD	46007	18766	22834	21779	25325	22709	24410	26183	26092	25899	26779	29481	25665	28162	29032	27087	29283
PCPI50003	Bennington County, VT	50003	31777	32541	34603	34607	37432	39675	41444	38975	39928	42564	44217	44585	46970	48874	49688	51980
PCPI38005	Benson County, ND	38005	19426	24801	20642	22613	22191	28122	32801	31358	32601	35623	42162	32677	30745	29483	32298	30142
PCPI08011	Bent County, CO	08011	19459	20611	20875	21583	20953	23793	23576	22303	21835	23063	24342	24974	25549	27446	27336	26417
PCPI47005	Benton County, TN	47005	20374	21113	22147	23399	24368	25834	27199	27165	28088	29153	29804	29839	30079	30976	31592	33164
PCPI41003	Benton County, OR	41003	30272	31969	32694	33039	34321	34994	36739	34726	35970	37939	38331	38559	40397	42083	43658	45273
PCPI19011	Benton County, IA	19011	27721	27594	29857	30176	31833	35257	38584	38781	40384	42762	44665	46398	47536	48401	48553	49693
PCPI53005	Benton County, WA	53005	29898	31024	32327	32649	33164	35706	37716	38491	40898	42311	41447	40591	41699	44430	44968	45587
PCPI27009	Benton County, MN	27009	28457	29958	31175	31054	32136	33034	34200	32339	33624	34933	37125	36594	38316	39949	41185	42119
PCPI05007	Benton County, AR	05007	34591	35932	38947	42248	45983	49539	52518	47516	48580	56112	66467	63336	73155	77768	79857	81533
PCPI18007	Benton County, IN	18007	27996	27328	29772	29175	30478	33120	37015	33874	33505	39444	36854	44913	39152	36246	39530	38447
PCPI28009	Benton County, MS	28009	17849	18951	19839	20198	20850	21208	22384	22183	22637	24003	25078	25773	26798	28032	28359	29022
PCPI29015	Benton County, MO	29015	20445	20589	22501	22501	23528	24715	26351	27642	28616	29658	30147	31582	32887	34149	33447	33736
PCPI26019	Benzie County, MI	26019	24460	23458	26473	26488	27235	28296	29707	29359	30436	32380	33180	34316	36216	38347	39661	40874
PCPI34003	Bergen County, NJ	34003	52047	51698	55420	57497	63064	67321	67308	64280	65992	68865	71789	71100	73637	76821	77901	81203
PCPI45015	Berkeley County, SC	45015	22683	23828	24846	26486	28185	29419	29888	28189	29743	31860	32307	32541	34216	35629	36145	37483
PCPI54003	Berkeley County, WV	54003	25839	26709	27577	29204	30661	31567	32628	32489	33365	34657	35594	35515	36266	37384	38432	39509
PCPI42011	Berks County, PA	42011	31173	31751	32467	33699	35556	36890	37728	36515	38056	39908	41592	40919	42760	44745	45636	47302
PCPI25003	Berkshire County, MA	25003	32084	32238	34547	35820	37740	39218	40856	40279	41273	43641	45248	45738	48380	51213	52493	54095
PCPI35001	Bernalillo County, NM	35001	29413	30235	31326	32546	34260	34966	35987	35417	35541	36792	37082	36433	38743	40211	41579	42186
PCPI26021	Berrien County, MI	26021	28548	29208	30508	30773	32494	34187	35828	34172	36026	37433	37714	38208	40044	42374	43998	46133
PCPI13019	Berrien County, GA	13019	22412	23723	23670	24464	24573	25923	25622	25318	25230	26531	27684	26384	26558	28305	28186	29406
PCPI37015	Bertie County, NC	37015	21571	22200	23222	24549	25434	26264	27124	27932	27830	27757	30209	30307	30910	31662	32427	34212
PCPI02050	Bethel CA, AK	02050	26101	27601	27720	28056	28170	29271	30792	32338	34340	36868	37910	37194	39964	40921	41871	42863
PCPI48029	Bexar County, TX	48029	28084	29342	29889	31432	33312	34335	36081	34160	35480	38038	38443	39101	41837	42632	42735	43798
PCPI13021	Bibb County, GA	13021	29693	29972	30257	31030	32133	32801	33564	32893	33788	35477	34766	35197	36981	38273	38841	40031
PCPI01007	Bibb County, AL	01007	18678	19660	20999	21375	22736	24095	24983	23789	25091	25973	27028	27420	28249	29048	28989	30022
PCPI22013	Bienville Parish, LA	22013	20048	20732	21902	23006	23320	24371	27474	28412	30957	31620	31393	32500	32761	33421	33482	35589
PCPI30003	Big Horn County, MT	30003	17098	19475	20461	22013	21250	23024	24413	23970	24743	26171	26415	25637	25679	26908	27749	28698
